date,gdp,unemployment,inflation,gini,deficit_ratio,debt_ratio,interest_rate,output_gap
2000-03-31,101.24,6.0,2.27,0.354,0.073,0.482,2.31,0.58
2000-06-30,102.61,4.53,0.3,0.365,0.045,0.516,1.76,0.5
2000-09-30,100.81,5.57,0.94,0.358,0.015,0.647,2.13,0.14
2000-12-31,101.22,5.06,2.86,0.368,0.037,0.571,0.0,-0.47
2001-03-31,101.49,5.88,2.15,0.354,-0.028,0.651,2.01,-0.43
2001-06-30,101.58,5.15,2.03,0.369,0.018,0.533,2.82,-0.63
2001-09-30,103.11,3.0,0.78,0.356,0.054,0.552,1.41,0.2
2001-12-31,103.22,5.72,3.34,0.351,0.018,0.593,2.63,1.3
2002-03-31,104.45,4.57,2.89,0.366,0.032,0.651,0.42,-0.93
2002-06-30,104.56,5.93,2.63,0.362,0.006,0.588,1.98,-0.6
2002-09-30,104.77,5.16,1.18,0.339,0.045,0.548,1.74,-0.97
2002-12-31,105.89,6.47,2.53,0.36,0.032,0.613,2.4,-0.05
2003-03-31,105.84,4.73,2.98,0.361,0.029,0.603,2.07,1.02
2003-06-30,106.25,3.0,1.81,0.362,0.048,0.623,4.16,-0.33
2003-09-30,105.9,4.72,1.87,0.38,0.062,0.59,0.0,0.3
2003-12-31,105.73,5.56,1.69,0.354,0.045,0.568,0.47,-2.3
2004-03-31,106.85,4.7,2.55,0.36,-0.005,0.6,1.25,-0.15
2004-06-30,107.85,4.57,1.88,0.343,0.037,0.476,2.02,0.48
2004-09-30,107.47,6.52,1.81,0.346,0.034,0.612,1.28,-0.61
2004-12-31,107.07,4.89,0.9,0.354,0.006,0.659,1.25,-1.62
2005-03-31,109.64,6.1,0.74,0.359,-0.003,0.626,0.35,0.45
2005-06-30,109.66,5.19,2.82,0.358,0.021,0.552,0.56,-0.11
2005-09-30,109.5,3.6,3.33,0.366,0.023,0.523,1.05,1.79
2005-12-31,110.45,4.1,2.76,0.367,0.028,0.664,3.45,-0.57
2006-03-31,110.36,4.73,3.2,0.37,0.014,0.573,1.11,-0.16
2006-06-30,110.61,5.35,1.63,0.358,0.032,0.588,4.69,-0.38
2006-09-30,111.86,4.23,2.03,0.365,0.035,0.61,2.99,0.1
2006-12-31,113.19,3.63,2.36,0.353,0.023,0.569,1.63,-1.8
2007-03-31,113.57,4.03,1.93,0.364,0.037,0.601,2.74,1.34
2007-06-30,115.18,4.52,3.4,0.365,0.017,0.673,2.95,0.63
