date,personal_tax,corporate_tax,revenue_ratio
2000-03-31,0.246,0.257,0.208
2000-06-30,0.212,0.218,0.259
2000-09-30,0.259,0.247,0.184
2000-12-31,0.289,0.206,0.146
2001-03-31,0.169,0.184,0.188
2001-06-30,0.301,0.188,0.303
2001-09-30,0.226,0.263,0.209
2001-12-31,0.264,0.209,0.214
2002-03-31,0.226,0.182,0.225
2002-06-30,0.245,0.243,0.204
2002-09-30,0.274,0.172,0.225
2002-12-31,0.244,0.214,0.221
2003-03-31,0.303,0.229,0.279
2003-06-30,0.251,0.228,0.254
2003-09-30,0.269,0.231,0.226
2003-12-31,0.232,0.216,0.239
2004-03-31,0.235,0.145,0.236
2004-06-30,0.238,0.226,0.185
2004-09-30,0.265,0.217,0.251
2004-12-31,0.299,0.213,0.199
2005-03-31,0.251,0.233,0.242
2005-06-30,0.212,0.242,0.222
2005-09-30,0.232,0.225,0.245
2005-12-31,0.21,0.264,0.261
2006-03-31,0.264,0.285,0.236
2006-06-30,0.251,0.227,0.203
2006-09-30,0.219,0.208,0.209
2006-12-31,0.239,0.18,0.235
2007-03-31,0.277,0.236,0.205
2007-06-30,0.263,0.165,0.206
2007-09-30,0.233,0.269,0.214
2007-12-31,0.272,0.248,0.207
2008-03-31,0.261,0.203,0.234
2008-06-30,0.234,0.239,0.204
2008-09-30,0.255,0.193,0.221
2008-12-31,0.305,0.186,0.196
2009-03-31,0.218,0.242,0.166
2009-06-30,0.28,0.188,0.242
2009-09-30,0.246,0.226,0.247
2009-12-31,0.268,0.215,0.203
2010-03-31,0.262,0.266,0.242
2010-06-30,0.258,0.228,0.227
2010-09-30,0.245,0.266,0.183
2010-12-31,0.25,0.245,0.254
2011-03-31,0.27,0.196,0.158
2011-06-30,0.263,0.184,0.217
2011-09-30,0.207,0.155,0.24
2011-12-31,0.263,0.22,0.185
2012-03-31,0.288,0.135,0.266
2012-06-30,0.276,0.194,0.201
2012-09-30,0.256,0.146,0.256
2012-12-31,0.197,0.2,0.213
2013-03-31,0.267,0.24,0.239
2013-06-30,0.269,0.192,0.217
2013-09-30,0.293,0.202,0.29
2013-12-31,0.222,0.205,0.231
2014-03-31,0.243,0.226,0.249
2014-06-30,0.234,0.174,0.24
2014-09-30,0.242,0.222,0.225
2014-12-31,0.199,0.215,0.211
2015-03-31,0.236,0.187,0.231
2015-06-30,0.237,0.189,0.249
2015-09-30,0.239,0.255,0.246
2015-12-31,0.297,0.24,0.236
2016-03-31,0.231,0.231,0.215
2016-06-30,0.237,0.193,0.241
2016-09-30,0.283,0.208,0.19
2016-12-31,0.233,0.179,0.219
2017-03-31,0.285,0.165,0.158
2017-06-30,0.263,0.204,0.199
2017-09-30,0.231,0.2,0.215
2017-12-31,0.229,0.181,0.177
2018-03-31,0.254,0.181,0.185
2018-06-30,0.244,0.229,0.248
2018-09-30,0.252,0.204,0.235
2018-12-31,0.233,0.171,0.253
2019-03-31,0.267,0.279,0.255
2019-06-30,0.23,0.166,0.239
2019-09-30,0.236,0.224,0.244
2019-12-31,0.244,0.188,0.229
2020-03-31,0.213,0.238,0.259
2020-06-30,0.24,0.22,0.175
2020-09-30,0.243,0.248,0.215
2020-12-31,0.207,0.216,0.252
2021-03-31,0.197,0.195,0.246
2021-06-30,0.286,0.261,0.223
2021-09-30,0.242,0.216,0.211
2021-12-31,0.245,0.212,0.246
2022-03-31,0.231,0.213,0.216
2022-06-30,0.296,0.196,0.187
2022-09-30,0.243,0.228,0.256
2022-12-31,0.197,0.268,0.209
2023-03-31,0.264,0.263,0.226
2023-06-30,0.221,0.227,0.172
2023-09-30,0.262,0.237,0.144
2023-12-31,0.246,0.24,0.234
2024-03-31,0.287,0.199,0.27
2024-06-30,0.263,0.263,0.152
2024-09-30,0.238,0.225,0.205
2024-12-31,0.291,0.163,0.237
2025-03-31,0.33,0.236,0.226
2025-06-30,0.234,0.19,0.222
2025-09-30,0.282,0.227,0.22
2025-12-31,0.261,0.238,0.192
2026-03-31,0.263,0.208,0.254
2026-06-30,0.213,0.226,0.249
2026-09-30,0.221,0.258,0.232
2026-12-31,0.292,0.176,0.152
2027-03-31,0.254,0.161,0.271
2027-06-30,0.234,0.214,0.219
2027-09-30,0.303,0.21,0.236
2027-12-31,0.286,0.28,0.278
2028-03-31,0.272,0.247,0.26
2028-06-30,0.221,0.233,0.218
2028-09-30,0.25,0.215,0.253
2028-12-31,0.293,0.16,0.239
2029-03-31,0.19,0.178,0.203
2029-06-30,0.203,0.208,0.225
2029-09-30,0.226,0.223,0.168
2029-12-31,0.279,0.205,0.173
2030-03-31,0.257,0.221,0.226
2030-06-30,0.264,0.238,0.263
2030-09-30,0.256,0.196,0.191
2030-12-31,0.253,0.205,0.257
2031-03-31,0.286,0.188,0.225
2031-06-30,0.357,0.254,0.275
2031-09-30,0.264,0.157,0.21
2031-12-31,0.289,0.235,0.31
2032-03-31,0.237,0.24,0.234
2032-06-30,0.298,0.156,0.214
2032-09-30,0.253,0.203,0.228
2032-12-31,0.256,0.25,0.166
2033-03-31,0.237,0.19,0.231
2033-06-30,0.228,0.2,0.211
2033-09-30,0.234,0.216,0.236
2033-12-31,0.221,0.256,0.211
2034-03-31,0.212,0.236,0.139
2034-06-30,0.305,0.196,0.142
2034-09-30,0.264,0.176,0.201
2034-12-31,0.28,0.172,0.182
2035-03-31,0.265,0.227,0.247
2035-06-30,0.208,0.152,0.188
